expenditure,wealth,income,pop,pop_dens,perc_intergov,grow_rate
218,24235,9227,606,30,14.8,5.8
139,24858,10538,1968,57,13.3,13.3
186,27826,11012,4185,41,15,19.7
126,41603,11546,656,42,13.8,-16.3
202,19219,8858,1602,30,20.4,14.9
167,33402,11795,1809,67,13.3,-0.2
254,40880,8866,1648,44,15.5,9.5
148,47768,13053,1579,51,19.3,4.2
88,44075,12618,3651,66,31.8,2.1
177,23243,10355,1354,51,22.6,0
220,38387,11105,1108,33,15.5,25.3
146,45579,11563,1602,52,15.6,-11.7
106,20240,9769,2546,67,14.7,2.8
100,45283,14326,1933,98,43.4,-16.8
263,30813,12906,867,29,20.9,-1.9
112,35349,10400,2220,69,18.8,15.7
82,31518,11600,2677,136,12.4,5.6
94,22535,10418,822,35,19.9,13.7
156,23072,9707,1267,36,12.2,14.3
100,18046,9590,6080,66,15.7,12.4
397,18903,8917,694,28,16.7,-3.5
283,21117,9372,916,20,33,-0.1
152,17580,11834,3629,89,22.5,-3.8
99,30119,10928,1196,22,22.9,-7.4
187,21811,13510,1896,50,22.4,2.2
265,24503,10463,1680,31,20.7,6.2
125,35086,15875,4715,131,14.8,-4.2
186,21500,11228,1882,39,27.3,24.5
199,35590,16741,4926,132,12.2,13.3
334,28949,10676,921,29,38.1,5.4
318,22918,8437,901,22,18.1,1.7
300,27917,9213,553,15,30.9,7.3
236,20572,12058,1629,40,21.8,-7.3
169,33705,13067,2580,61,15.7,4.7
282,25500,9768,1350,22,19.8,7.7
271,19963,8119,1253,24,28.3,9.2
196,18548,11444,1868,50,9.3,1.7
338,23731,9438,1941,38,11.7,14.3
265,62297,12812,1446,44,12.9,11.2
438,21442,9553,888,25,23.6,-2.3
217,20705,9351,1068,29,25.9,6.9
371,24661,7465,1006,16,33,0.1
204,16366,8423,1374,36,16.7,2.2
268,51341,13283,1870,46,10.1,-2
139,26821,11149,2395,63,30.8,14.7
261,85772,13225,1022,49,22.3,-3.5
658,38677,8821,408,10,48.5,-4.4
260,24708,8963,1098,24,29.5,6.9
222,31178,8088,1530,28,14.7,32.6
274,57261,16136,154350,3508,14.8,-0.4
279,59227,15838,382701,1558,13.4,12.9
1102,343364,23293,15247,223,15.3,21.3
364,103783,24649,176270,2203,8.1,-5.2
321,54699,16460,292977,2886,19.5,-0.7
753,84983,14972,23565,350,7.5,13.7
1147,369801,24351,2271,191,12.3,8.8
348,73441,21437,108021,2359,9.3,-3.3
699,193416,22987,36229,299,18.1,8.3
641,200197,18755,17939,340,7.8,5.1
502,98225,12102,3765,44,14.3,10.7
296,53764,11357,2559,53,18,3.9
453,74959,12350,1316,36,17,-0.9
294,52151,10476,2603,75,36.8,-5.4
457,49816,8300,10984,145,4.6,17.8
879,185409,18260,578,11,16.4,-22.9
540,83171,10900,1329,26,21.5,-1
367,99574,12509,2201,44,15.4,14.3
309,69147,11223,5719,74,18.3,2
617,115091,11442,1468,31,16.8,17.8
265,56653,13763,8863,94,9.4,34.8
546,111266,15973,2973,36,12.8,3.9
351,50029,11290,4074,43,11,-2.6
280,99746,13948,7088,88,10.9,-1.8
441,87937,13181,1240,26,11.2,-10.7
138,26984,10761,4156,73,43.4,2.3
186,27734,12100,1297,43,22.8,-2.4
199,20039,11086,4529,48,14.9,11
143,24336,11888,3213,65,16,20.7
244,32485,12601,1952,59,14.1,-0.1
127,36404,15913,16983,167,12.2,4.5
219,21701,8887,1202,31,17.8,27.3
244,22989,11266,2125,44,34.1,16.7
168,22190,11819,4840,82,36.9,7.7
222,28809,12832,3102,56,18.3,10.5
226,35638,15062,2940,55,19.8,16.7
166,36020,14298,11098,122,11.3,9.7
155,23876,11591,3190,86,15.4,28.6
144,28417,11352,3122,65,14.3,6.4
131,38709,12948,14638,536,5.7,11.6
180,68259,15227,6162,110,15.7,14
162,22495,11965,4960,84,16.4,10.6
109,47600,14580,3365,106,24.7,11.9
997,169668,13988,534,5,3.5,10.5
190,49225,15048,9111,245,9.7,16.5
224,64521,17911,4423,100,11.5,20.4
2410,572526,16341,189,2,13.4,-27.1
257,57721,19602,6691,224,11.7,-3.6
464,54422,15304,852,109,5.8,-6.5
249,49963,15191,9502,300,6,17.2
223,79909,16162,5351,98,15.2,6.6
278,53789,15496,7505,301,7.6,5.3
377,65263,16301,6061,188,5.6,13
418,87680,14673,4118,70,8.1,4.1
147,34854,12837,9187,258,15.4,20
307,58593,13046,5746,65,10.3,6.3
219,35674,13534,6277,315,23.4,4.8
248,58625,14719,14644,234,15.6,3.3
556,89476,10889,3033,25,22.8,11.8
180,40451,11230,10460,185,16,23.1
466,73168,16564,12331,460,6.5,0.1
375,66311,10387,8016,66,16.7,-5.2
432,99670,21887,6183,92,8,-7.8
663,276216,16457,1867,29,9.4,3.5
349,58122,9732,3576,42,22,19.1
800,331824,12537,686,11,22.6,-8.7
599,190118,11126,1306,20,11.3,17.3
485,65275,11395,2388,12,8.9,8.2
551,138714,15473,2264,76,6.5,-2.9
321,50381,12252,2845,54,8.9,5.4
240,58643,16119,23360,371,5.9,19.2
680,98481,9773,698,8,11.4,26.9
633,49624,9846,1084,12,11,22.7
294,35901,11081,4247,67,26.3,9.6
195,36910,11079,2778,49,18.3,8.3
242,38507,12540,1956,54,15.9,4.9
607,163243,10862,561,10,10.5,0.4
255,46758,12412,2240,36,15.1,9.1
85,33178,6423,6356,59,13.6,51.9
184,36331,10134,2739,109,7.6,-5.1
110,30878,11375,3373,62,17.8,14.6
175,46516,12762,2651,62,18.6,11.8
185,39573,9548,795,35,15.3,35.2
168,29848,11447,2038,47,16.8,14.2
245,39288,9649,1590,28,16.8,19.6
233,55704,11314,1652,44,18.4,28.7
103,41407,13631,4192,110,15.1,-1
729,203293,12512,471,14,53.2,-5.7
181,39374,11803,1696,34,11.3,16.4
172,46726,11258,1314,28,16.2,10.4
129,50254,11564,1368,26,15.2,12.8
125,29563,13408,5071,108,25.1,7
179,19025,8683,2238,60,30.1,25.1
172,33266,10769,2007,35,26.9,0.8
260,62711,12241,2066,52,26.6,11.3
224,29902,12027,2059,62,17.4,6.4
165,36342,15158,6148,164,12.8,17
184,27971,13610,4990,171,13.8,10
199,53022,15225,8776,273,12.4,14.4
117,31804,13127,4164,129,19.4,5.1
248,20087,11708,2372,70,14.1,-9.7
218,21912,10555,1741,48,22.8,-7.2
124,33507,12229,5667,87,26.1,-9.1
337,30587,14490,7278,215,11.9,31.5
196,35204,15195,6584,190,9.9,3.5
137,28413,11209,2232,61,26.3,15.6
619,152494,36031,17260,464,11.5,11.7
445,63815,24173,28688,856,4.9,6
631,80808,29522,18183,5510,13.1,-8.7
488,115537,31629,40637,2258,7.7,0.7
383,137299,33993,11801,425,10,27.5
