expenditure,wealth,income,pop,pop_dens,perc_intergov,grow_rate
171,54200,10442,2166,19,14,14.8
215,17855,8077,2104,49,49.6,6.1
443,52350,9709,1286,8,49.2,19.2
159,21968,10365,1140,32,27.2,-7.1
559,37388,7664,373,9,21.2,-21
267,59241,5902,1488,19,10.9,-7
288,21121,9914,1024,23,27.7,1.1
480,33857,11098,778,16,33.6,-18.1
256,19255,7301,1200,37,32.1,-1.2
418,23513,9204,744,17,57.6,-4.5
1361,171005,9956,146,2,34.3,-17.4
176,19671,10130,1650,45,53.6,-7.1
597,82532,12088,1034,6,20.6,9.7
172,17828,6176,6724,68,39.2,72
123,14461,8790,2185,49,29.9,5.6
964,457518,12119,311,2,10.1,0.3
573,32157,7748,1060,8,33.4,-3.8
153,18733,8686,1646,47,27.2,8.7
481,77451,14675,525,9,15.3,11.2
115,41799,11552,3068,100,22,12.8
540,69323,10453,1369,27,6.5,13.6
256,38820,9056,1554,40,21,-0.5
168,32081,12164,6358,90,13.2,-4.5
126,34448,11610,5006,87,46,9.5
232,89518,11731,1525,76,9.6,0
219,28387,8720,1856,33,20.4,2.3
141,24957,11218,3400,130,15.4,3.6
509,66248,8505,578,8,20.7,-6.2
188,19514,10568,2012,47,31.8,3.7
226,27569,11710,1769,50,29.5,-5.1
131,25800,11776,6153,127,7.5,8.8
223,29199,14654,1711,63,15.1,6.2
197,23342,11847,1794,50,25.9,-3.6
207,23106,12864,2366,73,18.3,4.6
193,31484,15385,2985,63,24.9,1
178,23054,12830,1697,49,28.9,-1.9
131,34451,14561,3219,81,20.1,2.7
166,28355,12102,1508,66,18.9,5.1
200,24043,12362,2317,65,26.4,-2
162,26076,11630,3481,86,20,0.6
181,26661,14034,2610,84,25.1,3.4
281,100886,12300,815,31,12.2,7.9
162,76133,12995,1879,82,12.6,7.5
209,55367,10884,5556,93,20,14.6
169,55235,12751,7383,127,13.9,8
73,41695,7219,5166,149,16.7,49.9
309,78711,12328,2332,47,11,1.8
262,56589,13913,3192,82,10.2,10
353,157499,10735,197,9,29.1,26
717,220053,13659,1255,14,44.9,15.7
463,185951,13873,975,19,12.8,29
411,161786,14052,838,10,11.7,2
162,44607,13785,3435,83,15,10.5
363,55707,10709,796,41,25.6,16.2
728,222717,12657,1686,37,6.4,1.1
3286,447569,12452,297,1,24,-4.5
1425,131874,8917,170,2,1.7,7.7
566,61521,10865,367,9,20.7,15.1
1112,137229,11532,1495,6,15.7,5
2053,323026,12969,348,6,15.9,7.2
891,239463,9894,494,3,9.7,8
1198,300676,13473,929,2,9.2,-0.5
3043,594758,11262,107,1,6.4,3.9
1131,107246,10928,722,4,8.7,12.6
154,20321,9853,1597,46,37.7,3.3
254,21639,9887,1076,37,32.5,-0.4
262,32114,11022,820,20,59,1.2
200,30561,12048,4823,133,8.8,2.3
99,39502,10605,2450,81,6.3,-4
79,44298,11276,2418,83,14,-7.1
185,29852,9835,1459,49,34.5,19.1
201,25398,10986,1675,76,34.4,14
148,54966,10382,1084,40,19.9,4.2
272,21750,9750,663,19,28.9,0.2
825,88349,8848,898,3,56.1,11.7
235,44075,12527,1558,28,22.3,6.2
328,23156,8283,1932,18,62.5,-0.6
310,39376,9673,746,23,36.5,-7.9
250,36037,7328,1079,28,21,1.1
1920,326853,15090,1624,4,7,-3.8
136,30005,11073,1315,58,28.6,18.7
163,27611,11881,3331,81,15.7,19.9
299,80163,12548,2842,39,44.4,18.6
269,20091,9069,1118,11,35.2,0.6
180,33256,11844,2999,52,27,18.4
379,47744,7438,2294,41,27.4,100.9
151,21579,11302,2443,57,47.8,7.9
382,54496,11225,2520,31,43.5,11.6
294,32510,9578,2720,33,65.8,4.7
842,84314,13411,1256,30,18.8,-4.7
264,39410,12069,1806,38,27.6,9.1
56,8565,6158,19897,273,12.8,294.5
422,24833,9236,775,20,64.7,6.4
399,89358,12934,1115,20,26.8,3.1
284,53092,10732,2296,32,42.6,12
213,32158,11888,2890,84,34.4,16.3
213,27139,8482,677,18,29.4,17.1
353,22358,10435,1052,25,31.7,21.5
179,23477,10205,1749,40,34.5,28.7
300,34157,10544,1465,23,24.5,35.7
167,41411,11909,4590,127,29.4,40.1
199,18584,12840,2129,28,27,1.6
603,44127,10879,232,5,61.8,43.1
279,34879,9092,2464,14,22.4,13.5
173,25962,11345,1557,32,15.4,2.3
251,46624,9419,1094,8,21.4,34.7
198,43821,9825,1365,15,28.1,18.7
457,30363,8305,426,11,29.9,1.7
293,33773,8193,886,14,28.7,19.2
139,27837,8572,1104,34,21.7,16.6
144,40221,11921,1218,34,17.6,0.5
276,25508,7809,1310,19,28.6,12.9
343,24359,11198,1331,18,60.2,-9.1
219,20112,10779,2568,46,17.6,9.1
739,74633,9286,223,3,26.5,-25.5
380,34267,7548,327,8,8.9,5.9
189,27007,10621,586,19,12.4,7
301,39398,9752,1681,15,20.1,26.8
204,39378,11209,741,7,28.4,-4.3
105,34600,13415,3310,87,17.9,3.4
124,39116,13712,2246,53,36.2,18
265,31543,13894,2241,68,28.7,11.5
127,64270,20722,2004,48,25.5,3.3
182,18216,6694,3400,87,20.8,49.1
210,27066,12254,1896,57,44.1,27.5
137,39086,13517,2060,68,23.9,10.3
158,38753,13576,5543,149,36.2,19.2
139,26633,9246,1549,32,22.2,6.4
128,65431,12197,734,98,63.2,-23.1
249,21856,10875,1596,44,64,4
435,29558,10853,823,21,29,19.5
330,18578,9669,917,35,31.9,15.8
295,22411,13163,1602,58,35.7,8.2
275,24799,11508,2460,46,21.3,12.3
223,18633,11249,1382,41,28.3,21.4
188,31405,12543,3573,73,20.8,9.4
263,22632,9458,2263,29,26.2,9.2
131,64786,21972,3552,74,23.4,6.9
209,42340,10808,907,30,25.6,10.3
94,31231,10548,2661,61,22.1,6.3
218,22344,12551,1717,55,13.6,7.2
239,24018,7311,963,24,24.9,19.6
76,30842,11784,2457,62,31.3,5.6
241,28508,10782,1295,30,26.5,13.2
114,37209,14160,3497,109,15.6,7.8
195,32170,13212,1658,66,20.8,-3.1
187,29559,11942,2566,64,16.8,28.2
228,43547,12442,1971,46,17.8,26.6
204,20567,9523,1063,44,25.5,5.2
188,24187,9717,1546,50,20.7,5.7
122,32897,12847,10049,142,14.1,8.9
282,51104,24179,34191,2206,12,-3.7
164,31170,16251,25478,642,30.5,6.3
242,30385,15057,4617,139,20,12.5
239,41324,15702,28348,1865,12.3,-3.9
243,33732,16123,91854,1938,12.3,10.7
149,25014,13110,9509,219,24.6,19.9
165,41270,14583,36424,1029,15.3,0.7
241,39516,17595,51323,3354,23.2,-9.1
230,67127,22997,4801,129,27.6,49
226,32213,15972,13713,390,18,18.1
140,37279,16289,8702,216,22.2,2.6
213,46488,19823,30823,822,25.5,11.1
133,50216,21048,38015,1170,22.5,14.6
227,59841,27917,23400,1040,18.3,9.3
171,36811,16339,3478,103,30.6,16.3
333,44846,20095,3260,107,21,7.2
130,41223,15308,5502,175,23,6.9
251,43560,19086,26725,840,16.2,11.7
276,34053,16575,3196,108,20.2,2.3
134,40138,13228,4015,147,13.2,6
126,27114,12352,1457,35,29.5,-2.6
332,29973,10496,1126,26,30.6,9.3
283,38236,11272,2649,53,21.4,2.3
223,40621,10371,1219,32,24.3,7.7
120,23690,9051,2032,41,27.6,-5.9
128,26699,10857,3005,88,25.1,6.5
212,22965,11423,1733,44,35,11.4
205,23348,10699,1670,33,34.4,-6.1
97,27394,9459,920,57,35.5,-13
257,72887,21457,471283,5423,15,-3.4
237,147431,34775,88153,6252,11.4,-3.9
361,93112,25802,233377,3795,9,-5.2
193,29498,13447,4851,122,6.8,8.1
326,22451,12106,3872,74,18.9,-4.7
282,32427,15996,12307,341,5,-3.8
231,24746,13237,17327,388,4.1,28.2
270,23332,12756,8942,173,6.8,-2.9
200,23204,12229,9926,1056,3.7,2.4
237,30097,16118,5067,186,8.4,6
224,31964,14773,5030,157,8,-0.5
207,27075,12553,5538,80,8.5,-3.3
460,356040,12600,2070,56,20.7,-3.7
265,34072,13561,11428,410,7.2,15.8
155,25119,12625,4438,91,10.2,-1.7
219,22808,8431,2865,48,20.8,16.6
270,27129,10432,1274,47,27.1,-0.2
257,18875,8881,818,22,24.5,19.3
147,35350,10471,2081,30,18.4,15.8
193,21447,9818,1089,47,18.3,20.2
113,23278,12360,2647,51,26.1,14.3
185,33679,13543,3944,120,12,0.2
283,28180,9092,885,16,17.6,23.8
210,21467,12031,3855,111,23.9,-0.2
355,80813,11061,1591,21,32.7,12.8
303,32431,14863,7853,237,10.7,-3.8
119,23620,12462,7160,158,14.9,3.2
157,22638,8161,9131,277,5.7,34.5
261,27595,12346,2124,65,37.4,-0.3
241,44191,17394,19640,792,8.9,2.9
240,26318,13394,3946,128,19.7,-0.7
256,30201,10157,1267,36,25.6,23
254,48991,11067,810,27,22.8,9.8
306,25475,11004,1028,24,29.6,12.2
209,33204,13515,3794,89,14.4,17
185,27935,12678,3426,93,24.4,5
183,26876,11837,6416,93,26.6,-3.3
163,25482,11582,4543,75,22.5,12.4
274,33763,13952,2078,40,19,5.3
152,24946,12822,5793,134,24.2,5.1
331,39733,18375,6732,286,57,-7
289,32793,16131,22363,656,14.3,-2.4
132,32655,14378,25942,535,12.9,8.1
118,30196,15131,53890,1172,13.3,16.8
319,80038,20701,21475,665,10.5,-7
216,33532,12606,3695,104,38,6.8
217,45397,14545,1451,31,30,0.4
308,39835,15233,10874,1431,9.2,-3.8
184,33410,15544,5228,133,15,13.7
136,39201,18088,10216,174,25.9,30.9
227,51664,22442,18491,411,13.8,19.8
122,34999,15652,4688,147,11.5,7.3
150,35076,16553,18510,321,12.4,3.2
207,35926,12994,2284,77,19.7,6.8
182,42049,18450,5482,83,22.2,18.4
191,32318,15130,32115,2470,7.9,-5.9
212,60197,18016,4761,115,9.6,-4.1
273,67733,15533,1691,52,17,4.9
224,67520,17032,1488,59,22.7,7.9
140,24026,15139,13523,380,12.6,6.2
324,36738,14254,2125,58,33.5,14.9
283,51888,13553,1935,65,15.1,26.6
283,60926,16359,7380,130,17,18.2
263,46145,14427,1955,61,23.1,7.8
193,28111,14920,10671,270,7.1,16.2
202,49284,15542,2945,154,9.6,-3.6
304,69277,12973,2856,59,16.5,-5.3
217,31005,12203,3117,88,12.2,20.2
109,24473,13953,4192,121,24.4,13.8
269,37277,12636,1364,35,30,18.8
155,32715,14036,4822,76,19.9,5.6
253,50327,13130,3335,79,19.5,19.5
246,28558,13199,2747,54,42.3,-0.1
490,93401,15701,1755,45,17,38
327,72662,19909,5177,150,19.3,43
166,29926,15102,2587,101,27.8,11.2
238,52150,16540,12129,375,6.3,18.2
258,75333,17989,6054,262,8.3,18.8
284,66917,17622,8290,334,9.7,7.5
270,53539,14109,6691,167,11.4,30.2
153,36446,12122,8272,125,17.7,39
171,87969,14674,6376,156,14.8,11.7
233,59664,14390,3327,110,13.7,49.6
203,77715,16539,4103,154,17,32.8
99,11078,8724,9713,326,10.9,-0.9
181,61726,13077,2537,111,16.8,27.1
159,55067,16726,9338,599,8.8,30
194,75600,14956,7282,159,13.9,8.7
180,34463,9645,5183,212,8.8,42
375,91526,17294,24320,557,7.4,5.8
275,46216,15320,23618,679,5.5,17.4
926,155034,30610,2328,52,6.1,2.5
297,60362,14294,23523,378,7.2,12.4
237,78908,19044,16225,170,24.7,30.3
